sku,descricao,categoria_produto,unidade
0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),Produto em Processo,KG
0050321021,Barra 60g Terroir da Amazonia Vale do Ja,Produto em Processo,PC
0050321022,Barra 60g Terroir da Amazonia Kunkuni,Produto em Processo,PC
0050321023,Barra 60g Terroir da Amazonia Amabela,Produto em Processo,PC
00504007,Chocolate Sakaguchi 78% cacau ( Amostra,SubConjunto,KG
00504008,Massa de Cacau - Sakaguchi (PA) - 1kg,Produto em Processo,KG
00504014,Biscoito de castanha do Pará com cupulat,Produto Acabado,KG
0060302002,Amêndoa de Cupuaçu -Torrada- AMABELA (PA,Produto em Processo,KG
0060303003,Nibs de Cupuaçu - AMABELA (PA),Produto em Processo,KG
0070305005,Massa de Chocolate - Chocolate - Yanomam,Produto em Processo,KG
0070305006,Massa de chocolate Yanomami 2025,Produto em Processo,PC
0070305007,massa de chocolate Yanomami ao leite,Produto em Processo,PC
0070305008,massa de chocolate Yanomami intenso,Produto em Processo,PC
0070305009,Massa de Chocolate - Yanomami Teste Inte,Produto em Processo,KG
0070305010,Massa de Chocolate - Yanomami Leite Test,Produto em Processo,KG
0070305011,Massa de Chocolate Intenso Yanomami 63%,Produto em Processo,PC
0070321001,Barra 60g Terroir da Amazonia YANOMAMI,Produto em Processo,PC
0060305008,Massa de Chocolate - Cupulate - AMABELA,Produto em Processo,KG
0070302002,Amêndoa de Cacau Torrada - Yanomami (RR),Produto em Processo,KG
0070303003,Nibs de Cacau - Yanomami (RR),Produto em Processo,KG
00704008,Massa de Cacau - Yanomami (RR) - 1kg,Produto em Processo,KG
0080302002,Amêndoa de Cupuaçu Torrada - Santa Bárba,Produto em Processo,KG
0080303003,Nibs de Cupuaçu - Santa Bárbara (PA),Produto em Processo,KG
0080304008,Liquor de Cupuaçu - Santa Bárbara (PA),Produto em Processo,KG
0080305004,Massa de  Cupuaçu - Santa Bárbara (PA),Produto em Processo,KG
00904008,Massa de Cupuaçu - Ashaninkas (AC) - 1kg,Produto em Processo,KG
0100304004,Liquor de Cacau - Paiter Suruí (RO),Produto em Processo,KG
0100305001,Massa Paiter Intenso Teste,Produto em Processo,KG
0100305002,Massa Paiter Ao Leite Teste,Produto em Processo,KG
0100305003,Gotas de Chocolate Paiter ao leite,SubConjunto,KG
0100305004,Gotas de Chocolate Paiter Intenso,SubConjunto,KG
0100305006,MASSA DE CHOCOLATE - PAITER SURUÍ 2025,Produto em Processo,PC
0100321001,Barra 60g Terroir da Amazonia PAITER,Produto em Processo,PC
01004007,Chocolate Paiter Surui  70% cacau ( Amos,Produto Intermediario,KG
01004008,Massa de Cacau - Paiter Suruí (RO) - 1kg,Produto em Processo,KG
0110301006,Amêndoa de Cacau Seca Aprovada -  Acará-,Materia Prima,KG
0110302002,Amêndoa de Cacau Torrada -  Acará-Açu (P,Produto em Processo,KG
0110304004,Liquor de Cacau - Acará-Açu (PA),Produto em Processo,KG
0110305006,MASSA DE CHOCOLATE- ACARÁ-AÇU (PA) 2025,Produto em Processo,PC
0110321001,Barra 60g Terroir da Amazonia ACARÁ,Produto em Processo,PC
0120303003,Nibs de Cacau - Mulheres da Floresta (PA,Produto em Processo,KG
0140101001,Amêndoa de Cacau Seca Uruará,Materia Prima,KG
0140103001,Nibs de Cacau - Uruará,Materia Prima,PC
01104008,Massa de Cacau - Acará-Açu (PA) - 1kg,Produto em Processo,KG
0140301001,Amêndoa de Cacau Seca Aprovada - Uruará,Produto em Processo,PC
0150101001,Amêndoa de Cacau Seca Medicilândia,Materia Prima,KG
0150103001,Nibs de Cacau - Medicilândia,Materia Prima,PC
